cid,majorCategory,crimeCount,borough
1,Arson and Criminal Damage,3132,Barking and Dagenham
2,Burglary,3240,Barking and Dagenham
3,Drug Offences,1743,Barking and Dagenham
4,Miscellaneous Crimes Against Society,510,Barking and Dagenham
5,Possession of Weapons,350,Barking and Dagenham
6,Public Order Offences,2012,Barking and Dagenham
7,Robbery,1774,Barking and Dagenham
8,Sexual Offences,1015,Barking and Dagenham
9,Theft,6977,Barking and Dagenham
10,Vehicle Offences,5419,Barking and Dagenham
11,Violence Against the Person,11056,Barking and Dagenham
